Date,Value,Volume
07-11-2025,164.92,193633263
07-10-2025,164.1,167704100
07-09-2025,162.88,183656443
07-08-2025,160,138133025
07-07-2025,158.24,140139000
07-03-2025,159.34,143716100
07-02-2025,157.25,171224111
07-01-2025,153.3,213143621
06-30-2025,157.99,194580316
06-27-2025,157.75,263234539
06-26-2025,155.02,198145746
06-25-2025,154.31,269146500
06-24-2025,147.9,187566121
06-23-2025,144.17,154308941
06-20-2025,143.85,242956200
06-18-2025,145.48,161494121
06-17-2025,144.12,139108000
06-16-2025,144.69,183133700
06-13-2025,141.97,180820600
06-12-2025,145,162365000
06-11-2025,142.83,167694044
06-10-2025,143.96,155881900
06-09-2025,142.63,185114500
06-06-2025,141.72,153986200
06-05-2025,139.99,232410759
06-04-2025,141.92,167120819
06-03-2025,141.22,225578800
06-02-2025,137.38,197663116
05-30-2025,135.13,333170900
05-29-2025,139.19,370615167
05-28-2025,134.81,304021146
05-27-2025,135.5,192953613
05-23-2025,131.29,198821324
05-22-2025,132.83,187344000
05-21-2025,131.8,270608738
05-20-2025,134.38,161514247
05-19-2025,135.57,193154600
05-16-2025,135.4,226542500
05-15-2025,134.83,226632600
05-14-2025,135.34,281180830
05-13-2025,129.93,330430105
05-12-2025,123,225023345
05-09-2025,116.65,132972200
05-08-2025,117.37,198428122
05-07-2025,117.06,207827821
05-06-2025,113.54,158525621
05-05-2025,113.82,133163241
05-02-2025,114.5,190194800
05-01-2025,111.61,236121507
04-30-2025,108.92,235044611
04-29-2025,109.02,170444300
04-28-2025,108.73,207708500
04-25-2025,111.01,251064700
04-24-2025,106.43,220815041
04-23-2025,102.71,247526000
04-22-2025,98.89,241004800
04-21-2025,96.91,288501136
04-17-2025,101.49,292517465
04-16-2025,104.49,397016900
04-15-2025,112.2,228966900
04-14-2025,110.71,264705049
04-11-2025,110.93,313417300
04-10-2025,107.57,437812400
04-09-2025,114.33,612918336
04-08-2025,96.3,476243400
04-07-2025,97.64,611041347
04-04-2025,94.31,532273810
04-03-2025,101.8,338769412
04-02-2025,110.42,220601243
04-01-2025,110.15,222614034
03-31-2025,108.38,299212700
03-28-2025,109.67,229872549
03-27-2025,111.43,236902100
03-26-2025,113.76,296431667
03-25-2025,120.69,167447200
03-24-2025,121.41,228452534
03-21-2025,117.7,266498528
03-20-2025,118.53,248829749
03-19-2025,117.52,273426225
03-18-2025,115.43,299686944
03-17-2025,119.53,255501500
03-14-2025,121.67,277593500
03-13-2025,115.58,299033131
03-12-2025,115.74,323857500
03-11-2025,108.76,354865700
03-10-2025,106.98,366487400
03-07-2025,112.69,341755500
03-06-2025,110.57,321181900
03-05-2025,117.3,284337900
03-04-2025,115.99,398163305
03-03-2025,114.06,411381400
02-28-2025,124.92,389091145
02-27-2025,120.15,443175846
02-26-2025,131.28,322553814
02-25-2025,126.63,271428711
02-24-2025,130.28,251381137
02-21-2025,134.43,228217600
02-20-2025,140.11,143903600
02-19-2025,139.23,167536006
02-18-2025,139.4,219176627
02-14-2025,138.85,195479600
02-13-2025,135.29,197430000
02-12-2025,131.14,160278600
02-11-2025,132.8,178902400
02-10-2025,133.57,216989100
02-07-2025,129.84,228186300
02-06-2025,128.68,251483600
02-05-2025,124.83,263110629
02-04-2025,118.65,256550040
02-03-2025,116.66,371235700
01-31-2025,120.07,390372900
01-30-2025,124.65,392925500
01-29-2025,123.7,467120640
01-28-2025,128.99,579666400
01-27-2025,118.42,818830900
01-24-2025,142.62,234657635
01-23-2025,147.22,155915549
01-22-2025,147.07,237651400
01-21-2025,140.83,197749000
01-17-2025,137.71,201188800
01-16-2025,133.57,209235600
01-15-2025,136.24,185217338
01-14-2025,131.76,195590500
01-13-2025,133.23,204808914
01-10-2025,135.91,207602514
01-08-2025,140.11,227349948
01-07-2025,140.14,351782200
01-06-2025,149.43,265377400
01-03-2025,144.47,229322500
01-02-2025,138.31,198247200
12-31-2024,134.29,155659211
12-30-2024,137.49,167734700
12-27-2024,137.01,170582603
12-26-2024,139.93,116519090
12-24-2024,140.22,105157000
12-23-2024,139.67,176053506
12-20-2024,134.7,306528600
12-19-2024,130.68,209719210
12-18-2024,128.91,277444533
12-17-2024,130.39,259410300
12-16-2024,132,237951130
12-13-2024,134.25,231514900
12-12-2024,137.34,159211400
12-11-2024,139.31,184905200
12-10-2024,135.07,210020900
12-09-2024,138.81,189308625
12-06-2024,142.44,188505600
12-05-2024,145.06,172621200
12-04-2024,145.14,231224300
12-03-2024,140.26,164414000
12-02-2024,138.63,171682800
11-29-2024,138.25,141863200
11-27-2024,135.34,226370912
11-26-2024,136.92,190287700
11-25-2024,136.02,344941900
11-22-2024,141.95,236406200
11-21-2024,146.67,400946600
11-20-2024,145.89,309871700
11-19-2024,147.01,227834912
11-18-2024,140.15,221866000
11-15-2024,141.98,250132900
11-14-2024,146.76,194463301
11-13-2024,146.27,191903300
11-12-2024,148.29,198634738
11-11-2024,145.26,182325620
11-08-2024,147.63,175665830
11-07-2024,148.88,207323303
11-06-2024,145.61,242043945
11-05-2024,139.91,160537400
11-04-2024,136.05,187528200
11-01-2024,135.4,207127838
10-31-2024,132.76,270039641
10-30-2024,139.34,179418100
10-29-2024,141.25,157593634
10-28-2024,140.52,173586745
10-25-2024,141.54,205122109
10-24-2024,140.41,172354900
10-23-2024,139.56,285930038
10-22-2024,143.59,226311600
10-21-2024,143.71,264554514
10-18-2024,138,176090200
10-17-2024,136.93,306435921
10-16-2024,135.72,264879720
10-15-2024,131.6,377831021
10-14-2024,138.07,232347700
10-11-2024,134.8,170209500
10-10-2024,134.81,242311337
10-09-2024,132.65,246191612
10-08-2024,132.89,285722500
10-07-2024,127.72,346250233
10-04-2024,124.92,244465552
10-03-2024,122.85,277118000
10-02-2024,118.85,221845900
10-01-2024,117,302094500
09-30-2024,121.44,227053651
09-27-2024,121.4,271009200
09-26-2024,124.04,302582900
09-25-2024,123.51,284692948
09-24-2024,120.87,354966800
09-23-2024,116.26,206228500
09-20-2024,116,382462428
09-19-2024,117.87,293506438
09-18-2024,113.37,310318937
09-17-2024,115.59,231925900
09-16-2024,116.78,248772308
09-13-2024,119.1,238358328
09-12-2024,119.14,367100500
09-11-2024,116.91,441422400
09-10-2024,108.1,268283736
09-09-2024,106.47,273912015
09-06-2024,102.83,413638100
09-05-2024,107.21,306850700
09-04-2024,106.21,372470300
09-03-2024,108,477155100
08-30-2024,119.37,333751600
08-29-2024,117.59,453023305
08-28-2024,125.61,448101115
08-27-2024,128.3,303134600
08-26-2024,126.46,331964700
08-23-2024,129.37,323230332
08-22-2024,123.74,376189100
08-21-2024,128.5,257883600
08-20-2024,127.25,300087415
08-19-2024,130,318333600
08-16-2024,124.58,302589900
08-15-2024,122.86,318086700
08-14-2024,118.08,339246407
08-13-2024,116.14,312646700
08-12-2024,109.02,325559900
08-09-2024,104.75,290844200
08-08-2024,104.97,391910023
08-07-2024,98.91,411440423
08-06-2024,104.25,409012100
08-05-2024,100.45,552842400
08-02-2024,107.27,482027500
08-01-2024,109.21,523462326
07-31-2024,117.02,473174200
07-30-2024,103.73,486833300
07-29-2024,111.59,248152100
07-26-2024,113.06,293399100
07-25-2024,112.28,460067019
07-24-2024,114.25,327776900
07-23-2024,122.59,173911000
07-22-2024,123.54,258068943
07-19-2024,117.93,217223800
07-18-2024,121.09,320979530
07-17-2024,117.99,390086200
07-16-2024,126.36,214769515
07-15-2024,128.44,208326200
07-12-2024,129.24,252680535
